Timestamp,Beacon_Address,Beacon_Major,Beacon_Minor,RSSI_Value,Calculated_Distance,Actual_Distance_Provided
1755681440.3780215,C3:00:00:39:47:95,3112,2113,-81,1.4454397707459274,5.0
1755681440.5079038,C3:00:00:39:47:98,1701,1071,-83,1.7378008287493754,5.0
1755681440.524973,C3:00:00:39:47:95,3112,2113,-81,1.4454397707459274,5.0
1755681440.5299952,C3:00:00:39:47:98,1701,1071,-80,1.318256738556407,5.0
1755681440.6141658,C3:00:00:39:47:98,1701,1071,-83,1.7378008287493754,5.0
1755681440.6917944,C3:00:00:39:47:95,3112,2113,-82,1.5848931924611136,5.0
1755681440.7682843,C3:00:00:39:47:95,3112,2113,-85,2.0892961308540396,5.0
1755681440.8148968,C3:00:00:39:47:98,1701,1071,-83,1.7378008287493754,5.0
1755681440.8280258,C3:00:00:39:47:95,3112,2113,-81,1.4454397707459274,5.0
1755681440.8346417,C3:00:00:39:47:98,1701,1071,-79,1.202264434617413,5.0
1755681440.9251897,C3:00:00:39:47:98,1701,1071,-82,1.5848931924611136,5.0
1755681441.0070934,C3:00:00:39:47:95,3112,2113,-82,1.5848931924611136,5.0
1755681441.1470082,C3:00:00:39:47:95,3112,2113,-81,1.4454397707459274,5.0
1755681441.1508572,C3:00:00:39:47:98,1701,1071,-80,1.318256738556407,5.0
1755681441.233802,C3:00:00:39:47:98,1701,1071,-81,1.4454397707459274,5.0
1755681441.3202734,C3:00:00:39:47:95,3112,2113,-82,1.5848931924611136,5.0
1755681441.434298,C3:00:00:39:47:98,1701,1071,-81,1.4454397707459274,5.0
1755681441.5407734,C3:00:00:39:47:98,1701,1071,-82,1.5848931924611136,5.0
1755681441.6319864,C3:00:00:39:47:95,3112,2113,-81,1.4454397707459274,5.0
1755681441.759265,C3:00:00:39:47:95,3112,2113,-82,1.5848931924611136,5.0
1755681441.780233,C3:00:00:39:47:95,3112,2113,-83,1.7378008287493754,5.0
1755681441.786299,C3:00:00:39:47:98,1701,1071,-79,1.202264434617413,5.0
1755681441.858246,C3:00:00:39:47:98,1701,1071,-83,1.7378008287493754,5.0
1755681442.0483358,C3:00:00:39:47:98,1701,1071,-85,2.0892961308540396,5.0
1755681442.0681612,C3:00:00:39:47:95,3112,2113,-81,1.4454397707459274,5.0
1755681442.0943034,C3:00:00:39:47:98,1701,1071,-81,1.4454397707459274,5.0
1755681442.1301596,C3:00:00:39:47:95,3112,2113,-81,1.4454397707459274,5.0
1755681442.1609082,C3:00:00:39:47:98,1701,1071,-84,1.9054607179632472,5.0
1755681442.2605107,C3:00:00:39:47:95,3112,2113,-82,1.5848931924611136,5.0
1755681442.3641746,C3:00:00:39:47:98,1701,1071,-85,2.0892961308540396,5.0
1755681442.3802762,C3:00:00:39:47:95,3112,2113,-81,1.4454397707459274,5.0
1755681442.4133031,C3:00:00:39:47:98,1701,1071,-77,1.0,5.0
1755681442.5692751,C3:00:00:39:47:95,3112,2113,-81,1.4454397707459274,5.0
1755681442.6705513,C3:00:00:39:47:98,1701,1071,-84,1.9054607179632472,5.0
1755681442.780324,C3:00:00:39:47:95,3112,2113,-81,1.4454397707459274,5.0
