Timestamp,Beacon_Address,Beacon_Major,Beacon_Minor,RSSI_Value,Calculated_Distance,Actual_Distance_Provided
1755688887.1477714,C3:00:00:39:47:98,1701,1071,-76,0.9120108393559098,5.0
1755688887.2319863,C3:00:00:39:47:98,1701,1071,-70,0.5248074602497725,5.0
1755688887.3434367,C3:00:00:39:47:98,1701,1071,-71,0.5754399373371569,5.0
1755688887.366466,C3:00:00:39:47:98,1701,1071,-70,0.5248074602497725,5.0
1755688887.5434506,C3:00:00:39:47:98,1701,1071,-76,0.9120108393559098,5.0
1755688887.6580703,C3:00:00:39:47:98,1701,1071,-70,0.5248074602497725,5.0
1755688887.6782112,C3:00:00:39:47:98,1701,1071,-73,0.6918309709189365,5.0
1755688887.748418,C3:00:00:39:47:92,1508,8051,-77,1.0,5.0
1755688887.8490887,C3:00:00:39:47:98,1701,1071,-75,0.831763771102671,5.0
1755688887.973365,C3:00:00:39:47:92,1508,8051,-76,0.9120108393559098,5.0
1755688887.9833148,C3:00:00:39:47:98,1701,1071,-72,0.6309573444801932,5.0
1755688888.024015,C3:00:00:39:47:92,1508,8051,-77,1.0,5.0
1755688888.1554189,C3:00:00:39:47:98,1701,1071,-74,0.7585775750291838,5.0
1755688888.180293,C3:00:00:39:47:98,1701,1071,-69,0.4786300923226383,5.0
1755688888.2683654,C3:00:00:39:47:98,1701,1071,-70,0.5248074602497725,5.0
1755688888.2883844,C3:00:00:39:47:92,1508,8051,-79,1.202264434617413,5.0
1755688888.294878,C3:00:00:39:47:98,1701,1071,-72,0.6309573444801932,5.0
1755688888.3034203,C3:00:00:39:47:92,1508,8051,-74,0.7585775750291838,5.0
1755688888.326215,C3:00:00:39:47:92,1508,8051,-77,1.0,5.0
1755688888.4744756,C3:00:00:39:47:98,1701,1071,-70,0.5248074602497725,5.0
1755688888.5801716,C3:00:00:39:47:98,1701,1071,-72,0.6309573444801932,5.0
1755688888.618088,C3:00:00:39:47:92,1508,8051,-76,0.9120108393559098,5.0
1755688888.6385236,C3:00:00:39:47:92,1508,8051,-74,0.7585775750291838,5.0
1755688888.7803113,C3:00:00:39:47:98,1701,1071,-71,0.5754399373371569,5.0
1755688888.8871648,C3:00:00:39:47:98,1701,1071,-70,0.5248074602497725,5.0
1755688888.910498,C3:00:00:39:47:92,1508,8051,-75,0.831763771102671,5.0
1755688888.9221792,C3:00:00:39:47:98,1701,1071,-67,0.3981071705534972,5.0
1755688888.9293308,C3:00:00:39:47:92,1508,8051,-79,1.202264434617413,5.0
1755688888.9522314,C3:00:00:39:47:92,1508,8051,-75,0.831763771102671,5.0
1755688889.20341,C3:00:00:39:47:98,1701,1071,-75,0.831763771102671,5.0
1755688889.2260282,C3:00:00:39:47:92,1508,8051,-75,0.831763771102671,5.0
1755688889.2328844,C3:00:00:39:47:98,1701,1071,-72,0.6309573444801932,5.0
1755688889.2484019,C3:00:00:39:47:92,1508,8051,-75,0.831763771102671,5.0
1755688889.2736528,C3:00:00:39:47:92,1508,8051,-78,1.096478196143185,5.0
1755688889.5295649,C3:00:00:39:47:92,1508,8051,-77,1.0,5.0
1755688889.5459573,C3:00:00:39:47:98,1701,1071,-67,0.3981071705534972,5.0
1755688889.5497794,C3:00:00:39:47:92,1508,8051,-74,0.7585775750291838,5.0
1755688889.5683115,C3:00:00:39:47:92,1508,8051,-77,1.0,5.0
1755688889.755156,C3:00:00:39:47:95,3112,2113,-80,1.318256738556407,5.0
1755688889.8366032,C3:00:00:39:47:92,1508,8051,-76,0.9120108393559098,5.0
1755688889.8610115,C3:00:00:39:47:98,1701,1071,-67,0.3981071705534972,5.0
1755688889.864384,C3:00:00:39:47:92,1508,8051,-77,1.0,5.0
1755688889.8809667,C3:00:00:39:47:92,1508,8051,-80,1.318256738556407,5.0
1755688889.9485333,C3:00:00:39:47:95,3112,2113,-86,2.290867652767773,5.0
1755688890.1235101,C3:00:00:39:47:98,1701,1071,-70,0.5248074602497725,5.0
1755688890.1322906,C3:00:00:39:47:92,1508,8051,-75,0.831763771102671,5.0
1755688890.172831,C3:00:00:39:47:98,1701,1071,-72,0.6309573444801932,5.0
1755688890.1770647,C3:00:00:39:47:92,1508,8051,-78,1.096478196143185,5.0
1755688890.330724,C3:00:00:39:47:98,1701,1071,-70,0.5248074602497725,5.0
1755688890.4324644,C3:00:00:39:47:98,1701,1071,-71,0.5754399373371569,5.0
1755688890.4683774,C3:00:00:39:47:92,1508,8051,-75,0.831763771102671,5.0
1755688890.485679,C3:00:00:39:47:92,1508,8051,-78,1.096478196143185,5.0
1755688890.4927719,C3:00:00:39:47:98,1701,1071,-65,0.3311311214825911,5.0
1755688890.5596206,C3:00:00:39:47:95,3112,2113,-79,1.202264434617413,5.0
1755688890.6172419,C3:00:00:39:47:95,3112,2113,-84,1.9054607179632472,5.0
1755688890.6430497,C3:00:00:39:47:98,1701,1071,-71,0.5754399373371569,5.0
1755688890.7352707,C3:00:00:39:47:92,1508,8051,-75,0.831763771102671,5.0
1755688890.7477252,C3:00:00:39:47:98,1701,1071,-71,0.5754399373371569,5.0
1755688890.7576241,C3:00:00:39:47:95,3112,2113,-83,1.7378008287493754,5.0
1755688890.7609413,C3:00:00:39:47:92,1508,8051,-74,0.7585775750291838,5.0
1755688890.7845304,C3:00:00:39:47:92,1508,8051,-78,1.096478196143185,5.0
1755688890.8066194,C3:00:00:39:47:98,1701,1071,-67,0.3981071705534972,5.0
1755688890.8103828,C3:00:00:39:47:92,1508,8051,-78,1.096478196143185,5.0
1755688890.8703823,C3:00:00:39:47:95,3112,2113,-78,1.096478196143185,5.0
1755688890.9357605,C3:00:00:39:47:95,3112,2113,-78,1.096478196143185,5.0
1755688890.9572744,C3:00:00:39:47:98,1701,1071,-75,0.831763771102671,5.0
1755688891.0413158,C3:00:00:39:47:92,1508,8051,-76,0.9120108393559098,5.0
1755688891.057032,C3:00:00:39:47:98,1701,1071,-76,0.9120108393559098,5.0
1755688891.1160617,C3:00:00:39:47:92,1508,8051,-76,0.9120108393559098,5.0
